Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
2u2,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 2.2uF, X7R, 15%, 10%, 10V","C100, C101, C102, C201, C301",FP-GRM188-0_1-e0_2_0_5-MFG,CMP-2006-02836-2,5,C99228
100n,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C200, C202, C203, C204, C205, C206, C302, C303",CAPC1608X90X35ML10T15,CMP-2100-03643-1,8,C165952
10n,CAP CER 10000PF 50V X7R 0603,C300,FP-CC0603-DA-MFG,CMP-2100-03600-2,1,C100042
RCLAMP0521P-N,,"D100, D101, D102, D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215",RCLAMP0521P-N,RCLAMP0521P-N,18,C117554
LTST-C190GKT,LED GREEN CLEAR CHIP SMD,D200,FP-LTST-C190GKT-MFG,CMP-22017-000005-2,1,C72043
RED LED,"LED, RED, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel",DS100,VISH-TLMX1100_V,CMP-1666-00027-1,1,C72044
100R,"Chip Ferrite Bead, 0603, 100O @ 100MHz, 25%, 0.045O, 2A",FB100,FP-BLM18-0_15-t0_5-MFG,CMP-0686-00530-3,1,C96995
1054500101,CONN RCP USB3.1 TYPEC 24P SMD RA,J100,FP-1054500101-MFG,CMP-04767-000004-1,1,C134092
1K,"RES Thick Film, 1kO, 1%, 0.1W, 100ppm/°C, 0603","R100, R204",FP-CRCW0603-e3-MFG,CMP-1666-00003-5,1,C21190
2K2,CRCW06032K20FKEA,"R200, R201, R202, R203",RESC1609X50X30NL10T20,CMP-2000-03167-1,4,C278639
RC0603FR-0710KL,RES 10K OHM 1% 1/10W 0603,R205,FP-RC0603-0_55-IPC_C,CMP-2100-03664-2,1,C25804
CAT10-220J4LF,"Chip Resistor Array, 22 Ohm, +/- 5%, -55 to 125 degC, 8-Pin SMD, RoHS, Tape and Reel","R206, R207, R208",BOUR-CAT10_V,CMP-2000-06066-1,3,C148503
B3U-1000P,SWITCH TACTILE SPST-NO 0.05A 12V,SW200,FP-B3U-1000P-MFG,CMP-2100-03586-2,1,C231329
AMS1117-3.3,"LDO Voltage Regulators 1A, 3.3V",U100,FP-AMS1117-IPC_C,CMP-209535-000001-1,1,C6186
STM32F302C8T6,"ARM Cortex-M4 32-bit MCU, 64 KB Flash, 16 KB Internal RAM, 37 I/Os, 48-Pin LQFP, -40 to 85 degC, Tray",U200,STM-LQFP48_M,CMP-0537-00011-1,1,C90795
MPU-6050,"3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel",U300,IS-QFN-24_V,CMP-1753-00002-2,1,C24112
CSTNE16M0V530000R0,CERAMIC RES 16.0000MHZ 15PF SMD,Y200,FP-CSTNE16M0V530000R0-MFG,CMP-06054-000001-1,1,C341521
