Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
J100,1054500101,Top,FP-1054500101-MFG,139.323,70.104,90,CONN RCP USB3.1 TYPEC 24P SMD RA
D207,RCLAMP0521P-N,Top,RCLAMP0521P-N,126.492,57.023,180,
D206,RCLAMP0521P-N,Top,RCLAMP0521P-N,122.174,57.023,0,
C303,100n,Top,CAPC1608X90X35ML10T15,128.736,84.624,0,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
C302,100n,Top,CAPC1608X90X35ML10T15,132.8,82.084,270,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
C206,100n,Top,CAPC1608X90X35ML10T15,105.029,76.2,270,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
C205,100n,Top,CAPC1608X90X35ML10T15,119.126,74.93,180,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
C204,100n,Top,CAPC1608X90X35ML10T15,114.3,65.151,0,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
C203,100n,Top,CAPC1608X90X35ML10T15,108.966,78.613,180,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
C202,100n,Top,CAPC1608X90X35ML10T15,104.394,68.199,0,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
C200,100n,Top,CAPC1608X90X35ML10T15,101.6,67.437,90,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
Y200,CSTNE16M0V530000R0,Top,FP-CSTNE16M0V530000R0-MFG,103.632,72.517,270,CERAMIC RES 16.0000MHZ 15PF SMD
U300,MPU-6050,Top,IS-QFN-24_V,128.736,80.56,0,"3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
U200,STM32F302C8T6,Top,STM-LQFP48_M,111.76,71.882,270,"ARM Cortex-M4 32-bit MCU, 64 KB Flash, 16 KB Internal RAM, 37 I/Os, 48-Pin LQFP, -40 to 85 degC, Tray"
U100,AMS1117-3.3,Top,FP-AMS1117-IPC_C,134.747,59.69,90,"LDO Voltage Regulators 1A, 3.3V"
SW200,B3U-1000P,Top,FP-B3U-1000P-MFG,114.173,82.423,90,SWITCH TACTILE SPST-NO 0.05A 12V
R208,CAT10-220J4LF,Top,BOUR-CAT10_V,107.061,61.087,90,"Chip Resistor Array, 22 Ohm, +/- 5%, -55 to 125 degC, 8-Pin SMD, RoHS, Tape and Reel"
R207,CAT10-220J4LF,Top,BOUR-CAT10_V,107.061,63.627,90,"Chip Resistor Array, 22 Ohm, +/- 5%, -55 to 125 degC, 8-Pin SMD, RoHS, Tape and Reel"
R206,CAT10-220J4LF,Top,BOUR-CAT10_V,109.093,58.039,0,"Chip Resistor Array, 22 Ohm, +/- 5%, -55 to 125 degC, 8-Pin SMD, RoHS, Tape and Reel"
R205,RC0603FR-0710KL,Top,FP-RC0603-0_55-IPC_C,111.633,82.423,270,RES 10K OHM 1% 1/10W 0603
